t_idx,range_A0,range_A1,range_A2,range_A3,range_A4,range_A5,range_A6,range_A7,gt_A0,gt_A1,gt_A2,gt_A3,gt_A4,gt_A5,gt_A6,gt_A7,class_A0,class_A1,class_A2,class_A3,class_A4,class_A5,class_A6,class_A7,second,msg_idx,t_sec
0,5599.311456142107,13169.179259256869,25517.61110383812,2264.2849189915264,11983.06352313268,20984.73065642277,7471.097093132807,22126.456343408343,5590.169943749474,13200.378782444084,25495.097567963923,2236.06797749979,12041.594578792296,21023.79604162864,7467.261881037788,22135.943621178652,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,0.0,0.0,0.0
1,5595.1103193918525,13147.52145023183,25492.062766586823,2232.6096575376264,12013.679385340602,21027.647282201127,7485.363848422535,22081.70638386041,5595.614354116981,13173.112768059036,25465.68082734094,2209.275899474758,12011.698464413763,20993.830045992083,7471.3385681549735,22107.485157746913,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,0.0,1000.0,50.0
2,5612.276677614425,13117.09218544782,25462.61895819665,2181.0695183110306,11976.256998445147,20943.43626129105,7512.209665943294,22074.394891366843,5601.21415409195,13145.85866347269,25436.265449157432,2182.567295640618,11981.802869351506,20963.86414762317,7475.533425783074,22079.03077582891,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,0.0,2000.0,100.0
3,5594.1190434367145,13108.052536398713,25422.820713712175,2166.908590252917,11964.289775850337,20946.82297702982,7544.095683130559,22038.38804073363,5606.9688781016075,13118.616542913358,25406.851438145575,2155.945268321996,11951.907797502456,20933.898346939586,7479.846255104446,22050.58049122517,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,0.0,3000.0,150.0
4,5597.5107677562255,13066.973299346982,25395.918181736553,2163.282233454613,11918.594829072917,20878.72795005257,7459.542415704094,22041.652103450328,5612.878049628372,13091.386481194417,25377.43879905929,2129.4130646729864,11922.013252802564,20903.932644361445,7484.27685217483,22022.1343198156,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,0.0,4000.0,200.0
5,5641.238806533182,13080.463181768906,25328.06224545567,2109.938924173311,11895.619813501517,20880.527698213114,7514.967871308654,22000.400144023188,5618.941181397079,13064.16855371975,25348.02753667433,2102.974084481309,11892.119239227297,20873.967040311243,7488.825007970208,21993.69227755995,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,0.0,5000.0,250.0
6,5645.525182457212,13038.990208573847,25327.291237749097,2095.570535194478,11818.511086196444,20834.411398723194,7479.379328805854,21946.08804505101,5625.157775565056,13036.96283648918,25318.617655788403,2076.631888419322,11862.225760792113,20844.00153521392,7493.490508434638,21965.254380498303,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,0.0,6000.0,300.0
7,5623.273056378089,13054.617645441049,25263.234227750512,2079.4385574032767,11781.846728404507,20803.98957859727,7503.155726482193,21954.40731469238,5631.52732391489,13009.769406104017,25289.20916122131,2050.390206765532,11832.332821552985,20814.036129496846,7498.273134529043,21936.8206447516,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,0.0,7000.0,350.0
8,5659.386105443512,13006.38875682862,25249.340305647638,2010.3823948408626,11828.179702044617,20778.331693843425,7464.902072580799,21874.392470101975,5638.049308049726,12982.588339772621,25259.802057815097,2024.2529486207993,11802.4404256069,20784.070823589875,7503.1726622809365,21908.39108652208,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,0.0,8000.0,400.0
9,5617.139631010876,12970.334537637671,25234.66912251625,2018.9387722659617,11759.730997702292,20758.861808657643,7526.956574654052,21870.685325902203,5644.723199590924,12955.419715316059,25230.39635043413,1998.2242116439288,11772.548577092388,20754.105617925336,7508.188862835031,21879.965722093806,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,0.0,9000.0,450.0
10,5665.251717504639,12908.405832941777,25190.100428568298,1960.8561555116523,11706.782090822362,20738.74968736161,7499.239432298652,21851.91939139501,5651.548460377916,12928.263611173776,25200.99204396525,1972.3082923316024,11742.657280190033,20724.14051293805,7513.321502504734,21851.544567833185,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,0.0,10000.0,500.0
11,5672.946942437289,12914.516041690264,25191.55069658709,1943.5551323324207,11700.0675897617,20691.78396273816,7467.950309805752,21779.71426601674,5658.524542670112,12901.120106409364,25171.58914331791,1946.509696867704,11712.766539123026,20694.17550906535,7518.570342824492,21823.12764018944,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,0.0,11000.0,550.0
